Sample	Stringency	Peak_Count	Total_Reads	Reads_In_Peaks	FRiP
TIL11_TB_S3	2	109004	132206308	30686388	.2321
TIL11_TB_S3	3	94520	132206308	28970330	.2191
TIL11_TB_S3	4	81176	132206308	27086688	.2048
TIL11_TB_S3	5	65185	132206308	24451961	.1849
TIL11_TB_S3	6	52629	132206308	21975243	.1662
TIL11_TB_S3	7	45205	132206308	20280880	.1534
TIL11_TB_S3	8	37486	132206308	18268339	.1381
TIL11_TB_S3	9	31268	132206308	16496876	.1247
TIL11_TB_S3	10	27369	132206308	15293124	.1156
TM_Tiller_bud_R1_S49	2	168083	78309028	31735972	.4052
TM_Tiller_bud_R1_S49	3	148393	78309028	30586468	.3905
TM_Tiller_bud_R1_S49	4	122206	78309028	28807577	.3678
TM_Tiller_bud_R1_S49	5	99601	78309028	26914602	.3436
TM_Tiller_bud_R1_S49	6	74583	78309028	24244323	.3095
TM_Tiller_bud_R1_S49	7	62138	78309028	22691952	.2897
TM_Tiller_bud_R1_S49	8	52399	78309028	21311261	.2721
TM_Tiller_bud_R1_S49	9	44730	78309028	20122405	.2569
TM_Tiller_bud_R1_S49	10	38655	78309028	19076182	.2436
